,glofasStation,placeCode
625,no_station,ET010407
626,no_station,ET010110
627,no_station,ET071709
628,no_station,ET030609
629,no_station,ET041009
630,no_station,ET071107
631,no_station,ET030521
632,no_station,ET071003
633,no_station,ET040215
634,no_station,ET072006
635,no_station,ET050497
636,no_station,ET041310
637,no_station,ET040199
638,no_station,ET051187
639,no_station,ET041119
640,no_station,ET030509
641,no_station,ET070205
642,no_station,ET010406
643,no_station,ET041018
644,no_station,ET042006
645,no_station,ET030616
646,no_station,ET071506
647,no_station,ET031214
648,no_station,ET071302
649,no_station,ET041702
650,no_station,ET040313
651,no_station,ET040812
652,G1053,ET020105
653,no_station,ET030215
654,no_station,ET072013
655,no_station,ET030694
656,no_station,ET040411
657,no_station,ET040499
658,no_station,ET010109
659,no_station,ET071507
660,no_station,ET030214
661,no_station,ET071104
662,no_station,ET060405
663,no_station,ET070509
664,no_station,ET150114
665,no_station,ET070209
666,no_station,ET051005
667,no_station,ET140102
668,no_station,ET030802
669,G5076,ET040811
670,no_station,ET070703
671,no_station,ET070901
672,no_station,ET130102
673,no_station,ET040209
674,no_station,ET070217
675,no_station,ET040797
676,no_station,ET031223
677,no_station,ET030619
678,no_station,ET010209
679,no_station,ET040893
680,no_station,ET042104
681,no_station,ET060206
682,no_station,ET040403
683,no_station,ET070212
684,no_station,ET041314
685,no_station,ET060304
686,no_station,ET072007
687,G1904,ET050606
688,no_station,ET072004
689,no_station,ET030504
690,no_station,ET040211
691,G4954,ET050103
692,no_station,ET040491
693,no_station,ET050809
694,no_station,ET010601
695,no_station,ET050204
696,no_station,ET010401
697,no_station,ET041711
698,no_station,ET041109
699,no_station,ET010606
700,no_station,ET041405
701,no_station,ET070206
702,no_station,ET070216
703,G4977,ET030701
704,no_station,ET030595
705,no_station,ET041412
706,no_station,ET160001
707,no_station,ET041499
708,no_station,ET040404
709,no_station,ET010104
710,no_station,ET070906
711,no_station,ET041902
712,no_station,ET071108
713,no_station,ET030510
714,no_station,ET040409
715,no_station,ET042005
716,no_station,ET050295
717,no_station,ET041296
718,no_station,ET030405
719,G1907,ET050805
720,no_station,ET050704
721,no_station,ET041802
722,no_station,ET040112
723,no_station,ET030206
724,no_station,ET072002
725,no_station,ET020403
726,no_station,ET031107
727,no_station,ET040413
728,no_station,ET050503
729,G5068,ET130101
730,no_station,ET042014
731,no_station,ET072010
732,no_station,ET071504
733,no_station,ET030211
734,no_station,ET041219
735,no_station,ET070310
736,no_station,ET040414
737,no_station,ET030523
738,no_station,ET030305
739,no_station,ET010206
740,no_station,ET040813
741,no_station,ET030416
742,no_station,ET010106
743,no_station,ET040816
744,no_station,ET030309
745,no_station,ET071101
746,no_station,ET070512
747,no_station,ET160036
748,no_station,ET070105
749,no_station,ET050498
750,no_station,ET040412
751,no_station,ET010314
752,G6110,ET040509
753,no_station,ET070914
754,no_station,ET030711
755,G5056,ET120104
756,no_station,ET010222
757,no_station,ET070913
758,no_station,ET041302
759,no_station,ET010608
760,no_station,ET030402
761,no_station,ET031109
762,no_station,ET160019
763,no_station,ET010113
